station,R_st,R_raw,R_v1,R_v2,PBIAS_R_raw,PBIAS_R_v1,PBIAS_R_v2
Кологрив_27164_calib.csv,9629.633333333333,5888.843881969111,8005.08480070159,17069.709432865726,-38.84664474622664,-16.870305196443024,77.26229900964445
Коломна_27625_calib.csv,8864.733333333334,7644.3203649975285,8408.593106373444,25765.445395828734,-13.767057873549176,-5.145560614268028,190.65110508113122
Конь_Колодезь_34026_calib.csv,7727.41,5268.987329362973,5807.20236656105,17498.08039192638,-31.81431644803404,-24.849304403919934,126.44172357784021
Кострома_27333_calib.csv,9788.16,6348.1080090902615,10132.515612016321,33126.70267503944,-35.14503227276361,3.518083194556701,238.436464821166
Котлас_22887_calib.csv,8375.456666666667,6182.471932076785,6182.471932076785,17806.60088020544,-26.183464638026283,-26.183464638026283,112.6045371480891
Красная_Гора_26976_calib.csv,9911.526666666667,6923.364881881714,6923.364881881714,20854.131900785913,-30.1483503528715,-30.1483503528715,110.4028229164755
Красная_Поляна_37107_calib.csv,72767.49,30543.04489927621,51663.53659899022,133772.36118410667,-58.026524071015494,-29.00189823918591,83.83533798418313
Краснодар__Круглик_34927_calib.csv,20780.4,10450.124320392213,13466.963858352741,29105.363813476535,-49.71163057307746,-35.19391417704789,40.061614855712754
Краснослободск_27756_calib.csv,6730.306666666667,4065.9245836303326,4065.9245836303326,13039.05849619422,-39.58782585988654,-39.58782585988654,93.73646910880069
Красноуфимск_28434_calib.csv,8997.02,4959.276146076598,5431.623039443325,15500.91990466014,-44.878680428890924,-39.62864326806737,72.28949034969511
Краснощелье_22235_calib.csv,5761.1900000000005,3452.101871139879,5268.23091723024,12605.836826746363,-40.08005514242927,-8.556549649807769,118.80612905921106
Кумены_27296_calib.csv,9098.733333333334,5972.4519881412525,8677.733104615676,19648.475492162437,-34.35952270124135,-4.627020193847396,115.94737170920243
Курск_34009_calib.csv,10130.3,6483.468281500956,8963.832677085462,19156.21399491714,-35.999246996624414,-11.514637502487956,89.09819052660968
Кушнаренково_28624_calib.csv,7820.456666666667,3837.4811427203804,4210.834638660472,12639.239166823203,-50.93021665759015,-46.156154069513356,61.617661289471194
Лагань_34984_calib.csv,2168.0466666666666,1616.1218784444914,2196.214810011962,4992.813643421765,-25.457237462086084,1.299240638053399,130.29087520049222
Лукоянов_27665_calib.csv,7653.51,4529.657041090178,4529.657041090178,14412.658654132749,-40.815951882336634,-40.815951882336634,88.31436365971624
Максатиха_27208_calib.csv,8351.406666666666,6911.335815310729,8733.270108736444,16865.980714938123,-17.243452616237146,4.572444587017015,101.95377124019177
Малые_Кармакулы_20744_calib.csv,1484.4133333333334,1885.147030512584,1777.0987723906787,3947.5168527772134,26.996099279126025,19.717246705141335,165.93110989597776
Марресаля_23032_calib.csv,3191.7266666666665,1714.7786746027793,1997.4282569362217,17206.256876352323,-46.27426300280163,-37.41856789315015,439.08929784147114
Махачкала_37472_calib.csv,5124.886666666667,4444.314765669654,7302.403434140464,19669.8951695343,-13.279745392685367,42.489071643999864,283.81132011116273
Мезень_22471_calib.csv,7213.826666666668,5169.350737313524,6467.906921587168,14559.623376766449,-28.341073660671217,-10.340139561797528,101.82940413640537
Минеральные_Воды_37054_calib.csv,11672.583333333334,6347.564910499754,7916.770820383088,15676.084455083539,-45.61987925695037,-32.17636067094755,34.29832974777253
Можайск_27509_calib.csv,10807.26,7717.742648234912,7717.742648234912,23078.03189360387,-28.58742504358263,-28.58742504358263,113.54193286368489
Москва_ВДНХ_27612_calib.csv,12459.443333333335,7388.283058803851,8330.658426938171,27946.15191164346,-40.701339047486734,-33.13779593466452,124.29695423773715
Мурманск_22113_calib.csv,4853.35,4089.754426698261,4949.320343730489,9286.256104232714,-15.733371244640082,1.977404137976631,91.33703739134234
Мыс_Константиновский_23114_calib.csv,5511.64,3970.031062763493,3567.574360550447,10091.908119510801,-27.970058589394576,-35.27199961262988,83.10172869619207
Нарьян_Мар_23205_calib.csv,5096.57,2935.661008974254,3479.321428697548,9011.967438367014,-42.39928012419619,-31.732097691240416,76.82416680958005
Нижний_Новгород_27459_calib.csv,10649.686666666666,4724.028863859623,5975.43423549681,18748.81200770002,-55.64161639942186,-43.890985504767805,76.05036274337981
Никольск_27066_calib.csv,10361.963333333333,6224.6776394314475,9692.53320065518,23343.057418172506,-39.92762337415997,-6.460456490177569,125.27639470678665
Новоузенск_34289_calib.csv,3881.826666666667,1998.0397836154216,2525.615223032324,7934.304053934636,-48.52836164034231,-34.93745496882076,104.39614478582168
Няксимволь_23724_calib.csv,7725.25,4492.023761595595,4492.023761595595,15785.236340179144,-41.85270688203495,-41.85270688203495,104.3330162801093
Няндома_22854_calib.csv,13174.81,7244.4738421424045,11244.385404093615,26934.72857633639,-45.012688288161996,-14.652390401883478,104.44111585925256
Октябрьский_городок_34163_calib.csv,7662.813333333333,3982.281308288475,3982.281308288475,12675.854175179635,-48.03108029572505,-48.03108029572505,65.4203700883527
